generation,best_fitness,best_score,best_steps,average_fitness
792,430657,399,31657,361690.67
793,428382,397,31382,336887.83
794,431819,399,32819,338715.03
795,429737,397,32737,314480.22
796,430011,399,31011,327086.38
797,418003,389,29003,291193.15
798,432320,399,33320,350114.35
799,433823,399,34823,343212.05
800,426507,397,29507,350668.72
801,430562,399,31562,337567.95
802,428759,395,33759,326347.33
803,431677,400,31677,341744.4
804,430934,399,31934,337882.88
805,425774,395,30774,342077.83
806,424726,395,29726,305134.33
807,427787,397,30787,348170.95
808,427833,397,30833,318589.88
809,428141,395,33141,355529.95
810,427348,397,30348,331879.5
811,427823,397,30823,343632.42
812,429020,398,31020,330342.15
813,430150,400,30150,352292.6
814,427008,395,32008,318240.35
815,428973,397,31973,347277.92
816,425142,395,30142,337104.45
817,428513,397,31513,349548.78
818,423657,393,30657,343537.8
819,420296,391,29296,342244.78
820,427733,397,30733,351288.62
821,430471,400,30471,343759.53
822,427784,397,30784,314653.33
823,430346,399,31346,373109.33
824,429927,399,30927,340436.9
825,432221,399,33221,344498.95
826,429811,400,29811,336827.78
827,427060,395,32060,313153.58
828,417185,389,28185,325385.47
829,427055,395,32055,342021.6
830,428401,397,31401,329914.17
831,426381,395,31381,321267.92
832,433231,399,34231,318814.85
833,428858,397,31858,318913.33
834,430215,397,33215,341530.35
835,431280,399,32280,348769.45
836,430361,400,30361,339242.42
837,426206,395,31206,337923.6
838,426137,395,31137,320317.2
839,425051,397,28051,341581.22
840,425398,393,32398,343803.53
841,428898,399,29898,336399.75
842,427780,395,32780,333875.03
843,426416,397,29416,351047.7
844,428748,399,29748,338486.92
845,428763,399,29763,331476.22
846,425953,395,30953,349569.28
847,426655,395,31655,361167.65
848,430925,400,30925,284304.97
849,424405,395,29405,321776.7
850,421706,391,30706,340796.8
851,431895,399,32895,365709.75
852,431481,400,31481,316359.95
853,428529,399,29529,371435.7
854,431517,397,34517,350444.78
855,427737,398,29737,355265.0
856,427786,397,30786,334509.78
857,432243,400,32243,333742.47
858,428716,399,29716,332949.65
859,427531,397,30531,355038.53
860,431655,400,31655,340525.83
861,420117,394,26117,344074.47
862,427810,397,30810,350602.58
863,431860,400,31860,343728.53
864,427990,397,30990,364746.22
865,431351,399,32351,336179.0
866,428504,399,29504,375275.12
867,429918,399,30918,341378.67
868,428050,397,31050,349278.78
869,429983,399,30983,348679.88
870,428900,399,29900,314767.2
871,426731,395,31731,339718.78
872,428941,397,31941,339658.12
873,431350,399,32350,336154.83
874,423301,393,30301,308803.12
875,429533,397,32533,352595.2
876,430719,400,30719,363984.95
877,427583,397,30583,340331.05
878,430219,399,31219,340877.4
879,433458,400,33458,345787.35
880,426936,396,30936,326597.3
881,427491,397,30491,339987.97
882,426392,397,29392,348221.53
883,427719,395,32719,309471.88
